Index,Product_Registration,File_Path,File_Name,DLP_File_Date_UTC,Time_Zone_Offset,Number_Recordings,File_Hours,ClientGroup_Name,ClientGroup_ID,Child_ChildKey,Child_ChildID,Child_DOB,Child_Age,Child_Gender,Child_EnrollDate,DLP,ITS_Version,AWC,Turn_Count,Child_Voc_Count,FAN_Word_Count,MAN_Word_Count,SIL,Recording_Index,Elapsed_Time,Clock_Time_TZAdj,Audio_Duration
41,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,30.00,1.00,4.00,25.32,4.67,0.00,1.00,11942.00,03/21/2021 16:20:00,300.00
42,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,14.00,1.00,23.00,14.05,0.00,0.00,1.00,12242.00,03/21/2021 16:25:00,300.00
43,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,168.00,3.00,8.00,70.69,97.87,0.00,1.00,12542.00,03/21/2021 16:30:00,300.00
44,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,73.00,2.00,6.00,25.87,46.35,0.00,1.00,12842.00,03/21/2021 16:35:00,300.00
45,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,192.00,7.00,11.00,169.92,23.01,0.00,1.00,13142.00,03/21/2021 16:40:00,300.00
46,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,175.00,7.00,13.00,158.01,16.29,0.00,1.00,13442.00,03/21/2021 16:45:00,300.00
47,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,73.00,4.00,18.00,39.89,33.77,5.96,1.00,13742.00,03/21/2021 16:50:00,300.00
48,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,150.00,0.00,5.00,90.08,59.32,6.75,1.00,14042.00,03/21/2021 16:55:00,300.00
49,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,82.00,2.00,12.00,55.99,26.06,0.00,1.00,14342.00,03/21/2021 17:00:00,300.00
50,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,105.00,1.00,1.00,51.65,53.44,48.66,1.00,14642.00,03/21/2021 17:05:00,300.00
